#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B0F45A
#Date Time: 2022-08-29 19:34:50.492
#Sample rate: 1e+08Hz
#Samples: 32768

Time (s);ADDR;VBLK;W3A09;NMI;IRQ;IMS;W3A0A;FIRQ;BLK
-0.00031292;hFFFF;1;1;0;1;0;1;1;0
-0.00031291;hFFFF;1;1;0;1;0;1;1;0
-0.0003129;h1BC7;1;1;0;1;0;1;1;1
-0.00031289;h1BC6;1;1;0;1;0;1;1;0
-0.00031288;h1BC6;1;1;0;1;0;1;1;0
-0.00031287;h1BC6;1;1;0;1;0;1;1;0
-0.00031286;h1BC6;1;1;0;1;0;1;1;0
-0.00031285;h1BC6;1;1;0;1;0;1;1;0
-0.00031284;h1BC6;1;1;0;1;0;1;1;0
-0.00031283;h1BC6;1;1;0;1;0;1;1;0
-0.00031282;h1BC6;1;1;0;1;0;1;1;0
-0.00031281;h1BC6;1;1;0;1;0;1;1;0
-0.0003128;h1BC6;1;1;0;1;0;1;1;0
-0.00031279;h1BC6;1;1;0;1;0;1;1;0
-0.00031278;h1BC6;1;1;0;1;0;1;1;0
-0.00031277;h1BC6;1;1;0;1;0;1;1;0
-0.00031276;h1BC6;1;1;0;1;0;1;1;0
-0.00031275;h1BC6;1;1;0;1;0;1;1;0
-0.00031274;h1BC6;1;1;0;1;0;1;1;0
-0.00031273;h1BC6;1;1;0;1;0;1;1;0
-0.00031272;h1BC6;1;1;0;1;0;1;1;0
-0.00031271;h1BC6;1;1;0;1;0;1;1;0
-0.0003127;h1BC6;1;1;0;1;0;1;1;0
-0.00031269;h1BC6;1;1;0;1;0;1;1;0
-0.00031268;h1BC6;1;1;0;1;0;1;1;0
-0.00031267;h1BC6;1;1;0;1;0;1;1;0
-0.00031266;h1BC6;1;1;0;1;0;1;1;0
-0.00031265;h1BC6;1;1;0;1;0;1;1;0
-0.00031264;h1BC6;1;1;0;1;0;1;1;0
-0.00031263;h1BC6;1;1;0;1;0;1;1;0
-0.00031262;h1BC6;1;1;0;1;0;1;1;0
-0.00031261;h1BC6;1;1;0;1;0;1;1;0
-0.0003126;h1BC6;1;1;0;1;0;1;1;0
-0.00031259;h1BC6;1;1;0;1;0;1;1;0
-0.00031258;h1BC6;1;1;0;1;0;1;1;0
-0.00031257;h1BC6;1;1;0;1;0;1;1;0
-0.00031256;h1BC6;1;1;0;1;0;1;1;0
-0.00031255;h1BC6;1;1;0;1;0;1;1;0
-0.00031254;h1BC6;1;1;0;1;0;1;1;0
